,Context Length,Feature Name,Language Pair,Coefficient
0,2,pmi,ende,0.4642845164115110
1,2,length ratio,ende,0.43507402024802400
2,2,explicit naming,ende,0.054596095449735500
3,2,thresold PMI,ende,-0.22116537254573400
4,2,repetition ratio,ende,-0.2537127733274820
5,2,mtld,enpt,0.07941674294696310
6,2,average sentence length,enpt,0.05194353235049590
7,2,pronoun ratio,enpt,0.037181240214794200
8,2,lexical density,enpt,0.029336528781058500
9,2,average word length,enpt,0.021574779299067200
10,2,contextual function word,enpt,0.01936047674940560
11,2,passive verb ratio,enpt,0.01915559903627750
12,2,positional token frequency,enpt,0.010740200518980100
13,2,explicit naming,enpt,0.008915897597358780
14,2,average function words,enpt,0.00623520151668023
15,2,10 most frequent word,enpt,0.0033566935034120100
16,2,mean multiple naming,enpt,-0.011162080065073700
17,2,single naming,enpt,-0.014088670769633100
18,2,repetition ratio,enpt,-0.02326799251227350
19,2,pmi,enpt,-0.03369787784916000
20,2,mdd,enpt,-0.035465785830661500
21,2,type token ratio,enpt,-0.03924778229160420
22,2,5 most frequent word,enpt,-0.0402076654664848
23,2,length ratio,enpt,-0.042359155444875300
24,2,50 most frequent word,enpt,-0.04387341966437680
25,2,thresold PMI,enpt,-0.05040021613676020
26,2,yulesi,enpt,-0.06054459925826950
27,2,mean word rank,enpt,-0.07955790692569200
28,2,mean multiple naming,enfr,0.08254625607635940
29,2,single naming,enfr,0.033557359138243500
30,2,mdd,enfr,0.0258702380675474
31,2,average word length,enfr,0.02266602297910480
32,2,explicit naming,enfr,-0.0018291457560523800
33,2,thresold PMI,enfr,-0.02056999977618810
34,2,average function words,enfr,-0.02782604176690260
35,2,type token ratio,enfr,-0.034218265685033
36,2,length ratio,enfr,-0.06631823993915380
37,2,average function words,enru,0.2887550394765790
38,2,length ratio,enru,0.23626004323693300
39,2,mean multiple naming,enru,0.2330385741357360
40,2,type token ratio,enru,0.20648442419867400
41,2,50 most frequent word,enru,-0.2253551048904500
42,2,passive verb ratio,enru,-0.2665394469601230
43,2,lexical density,ennl,0.04292832403018030
44,2,single naming,ennl,0.037796782089814400
45,2,average function words,ennl,0.030351952484554600
46,2,length ratio,ennl,0.02976786336020510
47,2,explicit naming,ennl,0.028555255489634900
48,2,mean multiple naming,ennl,0.02221652762755040
49,2,mtld,ennl,0.018335894565921300
50,5,length ratio,ennl,0.588341870777473
51,5,mean multiple naming,enru,0.2906408763655230
52,5,average function words,enru,0.241839848010648
53,5,mtld,enru,0.21042094383922100
54,5,length ratio,enru,0.19898470086580000
55,5,positional token frequency,enru,0.1534249175181430
56,5,pmi,enru,0.14404243331156700
57,5,pos perplexity,enru,0.12284757517829000
58,5,explicit naming,enru,0.1159740264761630
59,5,10 most frequent word,enru,0.09276245574910240
60,5,pronoun ratio,enru,0.06846192295992920
61,5,type token ratio,enru,0.04358653533559450
62,5,thresold PMI,enru,0.005867155467377220
63,5,lexical density,enru,-0.005266960263550590
64,5,average word length,enru,-0.013093146655573700
65,5,contextual function word,enru,-0.02350946407522790
66,5,mean word rank,enru,-0.1141379637594860
67,5,passive verb ratio,enru,-0.1279795670723800
68,5,yulesi,enru,-0.12938672674307000
69,5,repetition ratio,enru,-0.18705048838216800
70,5,50 most frequent word,enru,-0.3753327199504720
71,5,mtld,enpt,0.07769695028890670
72,5,average sentence length,enpt,0.058391640718847900
73,5,average word length,enpt,0.014028217541226200
74,5,yulesi,enpt,0.01384481166815650
75,5,contextual function word,enpt,0.00977738294851839
76,5,mean multiple naming,enpt,0.004392335101808910
77,5,mean word rank,enpt,0.0029697333427260400
78,5,passive verb ratio,enpt,-0.0008768385104655640
79,5,pmi,enpt,-0.004445740071595410
80,5,mdd,enpt,-0.009405077982228620
81,5,10 most frequent word,enpt,-0.011490351172417600
82,5,explicit naming,enpt,-0.013475124811279500
83,5,type token ratio,enpt,-0.01848718294878100
84,5,50 most frequent word,enpt,-0.019978226126974100
85,5,pronoun ratio,enpt,-0.035724894381155400
86,5,positional token frequency,enpt,-0.040171540665282600
87,5,thresold PMI,enpt,-0.043728903901965100
88,5,average function words,enpt,-0.046416518512752100
89,5,repetition ratio,enpt,-0.04885504918306870
90,5,length ratio,enpt,-0.060829227935583200
91,5,lexical density,enpt,-0.06719120369872960
92,5,5 most frequent word,enpt,-0.06752077414022310
93,5,positional token frequency,enfr,0.06774194093635650
94,5,pmi,enfr,0.0596362803590257
95,5,mean multiple naming,enfr,0.05493058798740050
96,5,pronoun ratio,enfr,0.049538798452358300
97,5,50 most frequent word,enfr,0.04001571351911270
98,5,yulesi,enfr,0.03710408024316200
99,5,average sentence length,enfr,0.032658528370985000
100,5,mean word rank,enfr,0.029825952970455500
101,5,mdd,enfr,0.016979665091140400
102,5,repetition ratio,enfr,0.015144646260439800
103,5,average word length,enfr,0.014279938020843600
104,5,5 most frequent word,enfr,0.007877024359685410
105,5,single naming,enfr,0.006817759536370450
106,5,length ratio,enfr,-0.003237278736533210
107,5,average function words,enfr,-0.006490938105845530
108,5,mtld,enfr,-0.008682946663594300
109,5,contextual function word,enfr,-0.00992592393442586
110,5,passive verb ratio,enfr,-0.012571547904070200
111,5,lexical density,enfr,-0.01990669926289420
112,5,10 most frequent word,enfr,-0.03792562984654760
113,5,type token ratio,enfr,-0.04825477024424790
114,5,thresold PMI,enfr,-0.05608849936746860
115,5,explicit naming,enfr,-0.07061346759667000
116,5,pmi,ende,0.15594497368639300
117,5,length ratio,ende,0.13526413322756200
118,5,yulesi,ende,-0.04344762410654560
119,5,thresold PMI,ende,-0.07748271639064910
120,5,repetition ratio,ende,-0.08613875992851190
121,10,mtld,enpt,0.10364800817006900
122,10,average function words,enpt,-0.0630830958095577
123,10,thresold PMI,enpt,-0.06517729801802050
124,10,lexical density,enpt,-0.08766582378955320
125,10,length ratio,enfr,0.50547203031639
126,10,pmi,enfr,0.3876069213183410
127,10,5 most frequent word,enfr,0.2382190401983650
128,10,yulesi,enfr,0.21206011256133000
129,10,50 most frequent word,enfr,0.1903170044382180
130,10,positional token frequency,enfr,0.1410505496350030
131,10,mean word rank,enfr,0.1320446130126780
132,10,mean multiple naming,enfr,0.11708383490750600
133,10,average function words,enfr,0.1023401403011270
134,10,pronoun ratio,enfr,0.1007084213599120
135,10,repetition ratio,enfr,0.08221614864104870
136,10,single naming,enfr,0.06682651520790420
