Context Length,Feature Name,Language Pair,Coefficient,Absolute coefficient,Rank
2,length ratio,deen,0.153912080889729,0.154,1
2,5 most frequent word,deen,0.0989352701619058,0.099,2
2,lexical density,deen,-0.0915684844488473,0.092,3
2,pronoun ratio,deen,-0.0877530215413124,0.088,4
2,mtld,deen,-0.088046546641092,0.088,5
2,mean word rank,deen,-0.0805660907847665,0.081,6
2,pos perplexity,deen,-0.0760822886082219,0.076,7
2,thresold PMI,deen,0.0650719905091135,0.065,8
2,average function words,deen,-0.0614506296662417,0.061,9
2,average word length,deen,0.05299147043381930,0.053,10
2,repetition ratio,deen,-0.050722410912326,0.051,11
2,syllable ratio,deen,-0.0372427037632572,0.037,12
2,10 most frequent word,deen,-0.0266069737870913,0.027,13
5,length ratio,deen,0.357854647703835,0.358,1
5,yulesi,deen,-0.141640428709592,0.142,2
5,average word length,deen,0.136547947759974,0.137,3
5,mean word rank,deen,-0.136602434972451,0.137,4
5,5 most frequent word,deen,0.132928613483095,0.133,5
5,lexical density,deen,-0.133038651506909,0.133,6
5,pronoun ratio,deen,-0.126113662334409,0.126,7
5,pos perplexity,deen,-0.108293934124642,0.108,8
5,repetition ratio,deen,-0.100641347636078,0.101,9
5,average sentence length,deen,0.0845386976985276,0.085,10
5,type token ratio,deen,0.084065239898064,0.084,11
5,syllable ratio,deen,-0.0815803214635268,0.082,12
5,average function words,deen,-0.0813228719852796,0.081,13
5,10 most frequent word,deen,-0.076623565819181,0.077,14
10,length ratio,deen,0.499949050515958,0.5,1
10,pronoun ratio,deen,-0.307173030880052,0.307,2
10,average function words,deen,-0.251693050270059,0.252,3
10,lexical density,deen,-0.249361792330872,0.249,4
10,yulesi,deen,-0.234749719861634,0.235,5
10,mean word rank,deen,-0.197282473170846,0.197,6
10,repetition ratio,deen,-0.19503945372512,0.195,7
10,10 most frequent word,deen,-0.166573889083337,0.167,8
10,pos perplexity,deen,-0.156665402447939,0.157,9
10,average word length,deen,0.15588407815822,0.156,10
10,50 most frequent word,deen,0.119676697428481,0.12,11
10,5 most frequent word,deen,0.104990554801684,0.105,12
10,contextual function word,deen,0.096256213096429,0.096,13
10,thresold PMI,deen,0.0902542584844741,0.09,14
10,single naming,deen,-0.0897583337766032,0.09,15
10,passive verb ratio,deen,-0.0757298584299255,0.076,16
2,length ratio,ende,-0.832319153152182,0.832,1
2,pmi,ende,-0.189768069656434,0.19,2
2,10 most frequent word,ende,0.161867126924906,0.162,3
2,50 most frequent word,ende,-0.147014522297033,0.147,4
2,average word length,ende,0.144235300473536,0.144,5
2,explicit naming,ende,0.135577918941776,0.136,6
2,thresold PMI,ende,0.100725644789352,0.101,7
