,Context Length,Feature Name,Language Pair,Coefficient
0,2,length ratio,deen,0.15391208088972900
1,2,5 most frequent word,deen,0.0989352701619058
2,2,thresold PMI,deen,0.06507199050911350
3,2,average word length,deen,0.052991470433819300
4,2,10 most frequent word,deen,-0.026606973787091300
5,2,syllable ratio,deen,-0.03724270376325720
6,2,repetition ratio,deen,-0.050722410912326000
7,2,average function words,deen,-0.061450629666241700
8,2,pos perplexity,deen,-0.07608228860822190
9,2,mean word rank,deen,-0.0805660907847665
10,2,pronoun ratio,deen,-0.08775302154131240
11,2,mtld,deen,-0.08804654664109200
12,2,lexical density,deen,-0.09156848444884730
13,2,syllable ratio,ruen,0.2690152695975240
14,2,yulesi,ruen,0.1905073842569440
15,2,passive verb ratio,ruen,-0.251250760398957
16,2,lexical density,ruen,-0.2584728362972150
17,2,pos perplexity,ruen,-0.2619739476156380
18,2,pronoun ratio,ruen,-0.3443151715358850
19,2,mean word rank,ruen,-0.3898436318083130
20,2,mtld,ruen,-0.4099569059755730
21,2,average sentence length,ruen,-0.4484617772030920
22,2,length ratio,ruen,-0.6599466605510260
23,2,5 most frequent word,guen,0.4127555150635000
24,2,syllable ratio,guen,0.3346392993781430
25,2,positional token frequency,guen,0.29031373373429200
26,2,perplexity,guen,0.15269008448258500
27,2,repetition ratio,guen,-0.1667631617076110
28,2,mean multiple naming,guen,-0.1916263374941680
29,2,average sentence length,guen,-0.2318077927177700
30,2,single naming,guen,-0.2444354466558740
31,2,pmi,guen,-0.26346222053191200
32,2,50 most frequent word,guen,-0.27304806594408600
33,2,average word length,guen,-0.29952182022413200
34,2,length ratio,guen,-0.3689659399856740
35,2,pronoun ratio,guen,-0.4678322088475590
36,2,lexical density,guen,-0.565446624972769
37,2,contextual function word,fien,0.3378297092207080
38,2,average sentence length,fien,0.22474210544795400
39,2,mean word rank,fien,0.20302954113739800
40,2,5 most frequent word,fien,0.1825467792627640
41,2,lexical density,fien,0.12812020644675500
42,2,perplexity,fien,0.11417096945250300
43,2,thresold PMI,fien,0.11066004943771400
44,2,passive verb ratio,fien,0.09343694953740600
45,2,positional token frequency,fien,0.09004646046114570
46,2,50 most frequent word,fien,0.08563827117405370
47,2,mdd,fien,0.05681343873213630
48,2,yulesi,fien,0.04029618123303810
49,2,mean multiple naming,fien,0.02510295125935240
50,2,mtld,fien,-0.0010724145154960800
51,2,single naming,fien,-0.049045237868862500
52,2,explicit naming,fien,-0.06953191909577200
53,2,10 most frequent word,fien,-0.09207351219291420
54,2,length ratio,fien,-0.09255103804243740
55,2,type token ratio,fien,-0.12639882869445000
56,2,average function words,fien,-0.15088654062981300
57,2,pmi,fien,-0.1927635672485390
58,2,average word length,fien,-0.20810057852339500
59,2,repetition ratio,fien,-0.2213263494376320
60,2,pronoun ratio,fien,-0.34374641024052000
61,2,syllable ratio,fien,-0.5496967475013580
62,2,average sentence length,kken,0.29556045852666500
