Context Length,Feature Name,Language Pair,Coefficient,Absolute coefficient,Rank
2,pmi,ende,0.4642845164115110,0.464,1
2,length ratio,ende,0.43507402024802400,0.435,2
2,repetition ratio,ende,-0.2537127733274820,0.254,3
2,thresold PMI,ende,-0.22116537254573400,0.221,4
2,explicit naming,ende,0.054596095449735500,0.055,5
5,pmi,ende,0.15594497368639300,0.156,1
5,length ratio,ende,0.13526413322756200,0.135,2
5,repetition ratio,ende,-0.08613875992851190,0.086,3
5,thresold PMI,ende,-0.07748271639064910,0.077,4
5,yulesi,ende,-0.04344762410654560,0.043,5
10,length ratio,ende,0.5931529102756930,0.593,1
10,pmi,ende,0.5396945175596380,0.54,2
10,yulesi,ende,-0.4073408509454950,0.407,3
10,repetition ratio,ende,-0.3367611758376920,0.337,4
10,mtld,ende,0.31990608784834200,0.32,5
10,thresold PMI,ende,-0.2832307202802770,0.283,6
10,50 most frequent word,ende,-0.18969093011905100,0.19,7
2,mean multiple naming,enfr,0.08254625607635940,0.083,1
2,length ratio,enfr,-0.06631823993915380,0.066,2
2,single naming,enfr,0.033557359138243500,0.034,3
2,type token ratio,enfr,-0.034218265685033,0.034,4
2,average function words,enfr,-0.02782604176690260,0.028,5
2,mdd,enfr,0.0258702380675474,0.026,6
2,average word length,enfr,0.02266602297910480,0.023,7
2,thresold PMI,enfr,-0.02056999977618810,0.021,8
2,explicit naming,enfr,-0.0018291457560523800,0.002,9
5,explicit naming,enfr,-0.07061346759667000,0.071,1
5,positional token frequency,enfr,0.06774194093635650,0.068,2
5,pmi,enfr,0.0596362803590257,0.06,3
5,thresold PMI,enfr,-0.05608849936746860,0.056,4
5,mean multiple naming,enfr,0.05493058798740050,0.055,5
5,pronoun ratio,enfr,0.049538798452358300,0.05,6
5,type token ratio,enfr,-0.04825477024424790,0.048,7
5,50 most frequent word,enfr,0.04001571351911270,0.04,8
5,10 most frequent word,enfr,-0.03792562984654760,0.038,9
5,yulesi,enfr,0.03710408024316200,0.037,10
5,average sentence length,enfr,0.032658528370985000,0.033,11
5,mean word rank,enfr,0.029825952970455500,0.03,12
5,lexical density,enfr,-0.01990669926289420,0.02,13
5,mdd,enfr,0.016979665091140400,0.017,14
5,repetition ratio,enfr,0.015144646260439800,0.015,15
5,average word length,enfr,0.014279938020843600,0.014,16
5,passive verb ratio,enfr,-0.012571547904070200,0.013,17
5,contextual function word,enfr,-0.00992592393442586,0.01,18
5,mtld,enfr,-0.008682946663594300,0.009,19
5,5 most frequent word,enfr,0.007877024359685410,0.008,20
5,single naming,enfr,0.006817759536370450,0.007,21
5,average function words,enfr,-0.0064909381058455300,0.006,22
5,length ratio,enfr,-0.003237278736533210,0.003,23
10,length ratio,enfr,0.50547203031639,0.505,1
10,type token ratio,enfr,-0.4900738460035800,0.49,2
10,pmi,enfr,0.3876069213183410,0.388,3
10,average sentence length,enfr,-0.3544507937240390,0.354,4
10,explicit naming,enfr,-0.24844763343823500,0.248,5
10,5 most frequent word,enfr,0.2382190401983650,0.238,6
10,thresold PMI,enfr,-0.2277402772946690,0.228,7
10,lexical density,enfr,-0.2178163737487150,0.218,8
10,10 most frequent word,enfr,-0.21401559625283700,0.214,9
10,yulesi,enfr,0.21206011256133000,0.212,10
10,50 most frequent word,enfr,0.1903170044382180,0.19,11
