,Context Length,Feature Name,Coefficient
0,10,positional token frequency,0.8332859961881343
1,10,contextual function word,0.7849951307221694
2,10,average sentence length,0.6325221722155837
3,10,syllable ratio,0.44061808625642473
4,10,5 most frequent word,0.22288637005544992
5,10,perplexity,0.19739461548418036
6,10,thresold PMI,-0.007214133692750803
7,10,explicit naming,-0.05014199132006974
8,10,type token ratio,-0.09245812147561315
9,10,pos perplexity,-0.10620392350012292
10,10,yulesi,-0.2994084574322608
11,10,mtld,-0.40146973838507716
12,10,pmi,-0.42102303883810427
13,10,10 most frequent word,-0.4305030592111264
14,10,mean multiple naming,-0.5194924980470742
15,10,lexical density,-0.544129900116914
16,10,repetition ratio,-0.5445425727010835
17,10,passive verb ratio,-0.5605738179387244
18,10,pronoun ratio,-0.6122183643986712
19,10,single naming,-0.6578940063709452
20,10,mdd,-0.7744017009603521
21,10,50 most frequent word,-0.8020327192575718
22,10,average word length,-0.8332829246536453
23,10,mean word rank,-0.9674135657844379
24,10,length ratio,-0.974585955062475
25,10,average function words,-1.1651152878497788
