,Context Length,Feature Name,Coefficient
0,5,positional token frequency,0.6378859661902456
1,5,type token ratio,0.3941056300185553
2,5,average sentence length,0.303057813395179
3,5,yulesi,0.26622905589669715
4,5,contextual function word,0.25513711376072834
5,5,perplexity,0.24013328671600787
6,5,explicit naming,0.1631700626280976
7,5,mean multiple naming,-0.17359368927907962
8,5,average word length,-0.24630040317983784
9,5,passive verb ratio,-0.29432828060775823
10,5,single naming,-0.31655790251845933
11,5,length ratio,-0.35594896766121253
12,5,mdd,-0.492274337824744
13,5,pronoun ratio,-0.5342854353853349
14,5,50 most frequent word,-0.5484134454035687
15,5,lexical density,-0.5889706027551446
16,5,mtld,-0.5946690093112857
17,5,pmi,-1.2188844316740446
