,Context Length,Feature Name,Coefficient
0,10,length ratio,0.49994905051595784
1,10,average word length,0.15588407815822003
2,10,50 most frequent word,0.11967669742848118
3,10,5 most frequent word,0.10499055480168391
4,10,contextual function word,0.09625621309642905
5,10,thresold PMI,0.09025425848447406
6,10,passive verb ratio,-0.0757298584299255
7,10,single naming,-0.08975833377660318
8,10,pos perplexity,-0.15666540244793933
9,10,10 most frequent word,-0.16657388908333676
10,10,repetition ratio,-0.1950394537251202
11,10,mean word rank,-0.19728247317084602
12,10,yulesi,-0.2347497198616338
13,10,lexical density,-0.2493617923308722
14,10,average function words,-0.251693050270059
15,10,pronoun ratio,-0.30717303088005177
