,Context Length,Feature Name,Coefficient
0,2,10 most frequent word,0.1618671269249057
1,2,average word length,0.144235300473536
2,2,explicit naming,0.13557791894177587
3,2,thresold PMI,0.10072564478935168
4,2,passive verb ratio,0.04601772054287477
5,2,yulesi,0.0393987639994761
6,2,contextual function word,0.03202355291881798
7,2,single naming,-0.023837312726621027
8,2,pos perplexity,-0.030804501338440378
9,2,positional token frequency,-0.04429699527695963
10,2,lexical density,-0.05619732581623941
11,2,pronoun ratio,-0.05751887698584014
12,2,5 most frequent word,-0.05798257687748035
13,2,mean multiple naming,-0.06457459941587576
14,2,mean word rank,-0.06738962895458499
15,2,average function words,-0.07806397149059631
16,2,repetition ratio,-0.08154294744416003
17,2,mdd,-0.08420984514757605
18,2,50 most frequent word,-0.14701452229703327
19,2,pmi,-0.18976806965643378
20,2,length ratio,-0.8323191531521815
