,Context Length,Feature Name,Coefficient
0,2,average sentence length,0.18120980880415963
1,2,yulesi,0.179785730260008
2,2,positional token frequency,0.0878687679538409
3,2,explicit naming,0.06240311926035458
4,2,passive verb ratio,0.06174790001473039
5,2,pmi,0.05475375510811523
6,2,mean multiple naming,0.04204294700459605
7,2,single naming,0.04074135694838746
8,2,contextual function word,0.007684353851821536
9,2,50 most frequent word,-0.004207482120032205
10,2,10 most frequent word,-0.02082912984244555
11,2,type token ratio,-0.03575752798557231
12,2,5 most frequent word,-0.03744367784529146
13,2,average word length,-0.0386047102075615
14,2,repetition ratio,-0.044647171885253564
15,2,pronoun ratio,-0.044722148425138435
16,2,thresold PMI,-0.0836225536798306
17,2,lexical density,-0.09515096671012177
18,2,average function words,-0.11050463622705103
19,2,mdd,-0.14852943302004562
20,2,mean word rank,-0.15778150262520546
21,2,length ratio,-0.1836687720473247
22,2,mtld,-0.3607353218384662
