,Context Length,Feature Name,Coefficient
0,10,average function words,0.5433151615705802
1,10,yulesi,0.4447145011251676
2,10,pos perplexity,0.3982440242791318
3,10,single naming,0.2480140388861867
4,10,pmi,0.21033071655877802
5,10,passive verb ratio,0.15632425159937804
6,10,mdd,0.07094934715521663
7,10,explicit naming,-0.0317424621022135
8,10,thresold PMI,-0.10070863868870629
9,10,pronoun ratio,-0.1782440043141821
10,10,mean multiple naming,-0.23984770617561993
11,10,positional token frequency,-0.2955166983645587
12,10,repetition ratio,-0.529099950561767
13,10,mtld,-0.5354966989862673
14,10,contextual function word,-0.5516678503505553
15,10,average word length,-0.6507442244208878
16,10,length ratio,-0.7981090328483074
17,10,average sentence length,-1.277893295217942
18,10,type token ratio,-1.6540930356291772
