,Context Length,Feature Name,Coefficient
0,2,thresold PMI,0.05996055568868999
1,2,average word length,0.0539122126265595
2,2,50 most frequent word,0.047530943425853615
3,2,passive verb ratio,0.04131866552134923
4,2,lexical density,0.03227843259169384
5,2,mean multiple naming,0.026809675229820574
6,2,single naming,0.02478225042591228
7,2,pos perplexity,0.02290287185067074
8,2,mdd,0.016728981949726374
9,2,5 most frequent word,0.010246504079002204
10,2,pronoun ratio,0.007736716936100533
11,2,type token ratio,0.003000083290316727
12,2,average function words,0.0010012148087284616
13,2,contextual function word,-0.008976122901029724
14,2,repetition ratio,-0.013879920576395265
15,2,explicit naming,-0.0174489908496672
16,2,mtld,-0.01818236978019907
17,2,yulesi,-0.01999597537326668
18,2,positional token frequency,-0.021273796636365354
19,2,average sentence length,-0.032589639560876106
20,2,10 most frequent word,-0.04342049361778215
21,2,mean word rank,-0.051303390875116185
22,2,pmi,-0.07659116961797222
23,2,length ratio,-0.2110873639191723
