,Context Length,Feature Name,Coefficient
0,2,contextual function word,0.3378297092207081
1,2,average sentence length,0.22474210544795364
2,2,mean word rank,0.20302954113739777
3,2,5 most frequent word,0.1825467792627638
4,2,lexical density,0.12812020644675476
5,2,perplexity,0.11417096945250264
6,2,thresold PMI,0.11066004943771425
7,2,passive verb ratio,0.09343694953740596
8,2,positional token frequency,0.09004646046114571
9,2,50 most frequent word,0.08563827117405373
10,2,mdd,0.05681343873213626
11,2,yulesi,0.04029618123303813
12,2,mean multiple naming,0.025102951259352406
13,2,mtld,-0.0010724145154960784
14,2,single naming,-0.049045237868862494
15,2,explicit naming,-0.06953191909577196
16,2,10 most frequent word,-0.09207351219291424
17,2,length ratio,-0.09255103804243735
18,2,type token ratio,-0.12639882869444968
19,2,average function words,-0.15088654062981338
20,2,pmi,-0.1927635672485394
21,2,average word length,-0.20810057852339514
22,2,repetition ratio,-0.2213263494376318
23,2,pronoun ratio,-0.34374641024051994
24,2,syllable ratio,-0.5496967475013576
