,Context Length,Feature Name,Coefficient
0,2,5 most frequent word,0.41275551506349956
1,2,syllable ratio,0.33463929937814246
2,2,positional token frequency,0.29031373373429226
3,2,perplexity,0.15269008448258475
4,2,repetition ratio,-0.1667631617076107
5,2,mean multiple naming,-0.1916263374941675
6,2,average sentence length,-0.2318077927177696
7,2,single naming,-0.24443544665587436
8,2,pmi,-0.26346222053191165
9,2,50 most frequent word,-0.27304806594408604
10,2,average word length,-0.299521820224132
11,2,length ratio,-0.36896593998567373
12,2,pronoun ratio,-0.4678322088475593
13,2,lexical density,-0.565446624972769
