,Context Length,Feature Name,Coefficient
0,2,yulesi,0.17083133470000814
1,2,5 most frequent word,0.12619496986012413
2,2,average word length,0.12405774811381612
3,2,contextual function word,0.1178057960334971
4,2,pmi,0.1163939422468573
5,2,50 most frequent word,0.07194644283852922
6,2,average sentence length,0.06486975127197386
7,2,pos perplexity,0.04392812483812877
8,2,lexical density,-0.05229496207765143
9,2,pronoun ratio,-0.06472093353507831
10,2,repetition ratio,-0.06546222174951
11,2,type token ratio,-0.1047075345856789
12,2,mean word rank,-0.11750595352149486
13,2,average function words,-0.13384506667057852
14,2,syllable ratio,-0.13727136351515018
15,2,10 most frequent word,-0.16674594446245974
16,2,length ratio,-0.18910713666044893
17,2,mtld,-0.23527624523272014
