,Context Length,Feature Name,Coefficient
0,5,syllable ratio,1.0673131850509774
1,5,yulesi,0.5523904964205101
2,5,5 most frequent word,0.33181775802928143
3,5,50 most frequent word,0.11603844556784494
4,5,positional token frequency,0.11237139862400594
5,5,contextual function word,0.09141253944905678
6,5,perplexity,0.05529506587686567
7,5,mdd,-0.05016460467974994
8,5,thresold PMI,-0.05201416289232469
9,5,average function words,-0.05325053883974049
10,5,type token ratio,-0.07088436653192914
11,5,pmi,-0.08963768746798864
12,5,single naming,-0.09242836750596284
13,5,mean multiple naming,-0.10040770635104392
14,5,repetition ratio,-0.13240428245320568
15,5,explicit naming,-0.16353990591046436
16,5,lexical density,-0.20835670615454616
17,5,average word length,-0.2464445197586411
18,5,10 most frequent word,-0.25099428013889025
19,5,pos perplexity,-0.2677436465552591
20,5,passive verb ratio,-0.3160152521772097
21,5,mean word rank,-0.3386736238957137
22,5,pronoun ratio,-0.3560880360475597
23,5,mtld,-0.6666878349048208
24,5,length ratio,-0.8957177266985176
25,5,average sentence length,-1.1769363702853335
