,Context Length,Feature Name,Coefficient
0,5,positional token frequency,0.06774194093635647
1,5,pmi,0.0596362803590257
2,5,mean multiple naming,0.05493058798740051
3,5,pronoun ratio,0.049538798452358326
4,5,50 most frequent word,0.04001571351911267
5,5,yulesi,0.03710408024316196
6,5,average sentence length,0.032658528370985006
7,5,mean word rank,0.029825952970455472
8,5,mdd,0.016979665091140406
9,5,repetition ratio,0.015144646260439796
10,5,average word length,0.014279938020843565
11,5,5 most frequent word,0.007877024359685408
12,5,single naming,0.0068177595363704485
13,5,length ratio,-0.003237278736533211
14,5,average function words,-0.006490938105845527
15,5,mtld,-0.008682946663594301
16,5,contextual function word,-0.00992592393442586
17,5,passive verb ratio,-0.012571547904070246
18,5,lexical density,-0.01990669926289415
19,5,10 most frequent word,-0.03792562984654755
20,5,type token ratio,-0.048254770244247944
21,5,thresold PMI,-0.05608849936746857
22,5,explicit naming,-0.07061346759667002
