,Context Length,Feature Name,Coefficient
0,5,mtld,0.07769695028890669
1,5,average sentence length,0.058391640718847865
2,5,average word length,0.014028217541226195
3,5,yulesi,0.01384481166815653
4,5,contextual function word,0.00977738294851839
5,5,mean multiple naming,0.004392335101808905
6,5,mean word rank,0.0029697333427260424
7,5,passive verb ratio,-0.0008768385104655641
8,5,pmi,-0.0044457400715954085
9,5,mdd,-0.009405077982228617
10,5,10 most frequent word,-0.011490351172417552
11,5,explicit naming,-0.013475124811279524
12,5,type token ratio,-0.01848718294878095
13,5,50 most frequent word,-0.019978226126974075
14,5,pronoun ratio,-0.03572489438115539
15,5,positional token frequency,-0.040171540665282585
16,5,thresold PMI,-0.043728903901965065
17,5,average function words,-0.04641651851275214
18,5,repetition ratio,-0.04885504918306871
19,5,length ratio,-0.06082922793558321
20,5,lexical density,-0.06719120369872962
21,5,5 most frequent word,-0.06752077414022305
