,Context Length,Feature Name,Coefficient
0,5,mean multiple naming,0.2906408763655229
1,5,average function words,0.24183984801064798
2,5,mtld,0.21042094383922144
3,5,length ratio,0.19898470086580017
4,5,positional token frequency,0.1534249175181428
5,5,pmi,0.14404243331156652
6,5,pos perplexity,0.12284757517829027
7,5,explicit naming,0.1159740264761627
8,5,10 most frequent word,0.09276245574910244
9,5,pronoun ratio,0.06846192295992923
10,5,type token ratio,0.043586535335594465
11,5,thresold PMI,0.005867155467377219
12,5,lexical density,-0.005266960263550589
13,5,average word length,-0.013093146655573725
14,5,contextual function word,-0.023509464075227936
15,5,mean word rank,-0.1141379637594859
16,5,passive verb ratio,-0.1279795670723795
17,5,yulesi,-0.12938672674307033
18,5,repetition ratio,-0.18705048838216787
19,5,50 most frequent word,-0.37533271995047224
