,Context Length,Feature,Coefficient,VIF
0,2,explicit naming,0.18390877259135216,2.0003020413525934
1,2,single naming,0.11622318586340734,2.094374820599942
2,2,mean multiple naming,0.08846639816295501,1.769626210881034
3,2,type token ratio,0.043802745207952104,3.82264110361787
4,2,passive verb ratio,0.0409828050463196,1.933744713095399
5,2,5 most frequent word,0.014653724032520774,3.4152085960781817
6,2,repetition ratio,-0.002103049744160012,1.2401438144015264
7,2,contextual function word,-0.004691931469641018,1.7367564369941229
8,2,yulesi,-0.03609978479134621,2.5583508885242767
9,2,mdd,-0.1236452123849234,4.832291161167766
10,2,length ratio,-0.22802431429062991,2.6235280740163733
