,Context Length,Feature,Coefficient,VIF
0,2,passive verb ratio,0.04389343089381931,1.2222681659945902
1,2,type token ratio,0.028311844506176197,4.97531087222636
2,2,pos perplexity,0.01821259678447828,2.6591457751010372
3,2,single naming,0.012611854421075316,2.0414885724083147
4,2,explicit naming,0.01196244646086815,1.8946653791475117
5,2,mean multiple naming,-0.0018318994364257568,1.5117386181304693
6,2,contextual function word,-0.0026227063793203605,1.9006386687013566
7,2,repetition ratio,-0.0037417751157056657,1.2880246692477042
8,2,5 most frequent word,-0.0067218970848665,4.3783625205831305
9,2,yulesi,-0.027247528850461743,2.732996354733316
10,2,length ratio,-0.20462035713687626,2.4950634506855742
